date,indicator,value,entity
2020-06-14,Daily hospital occupancy,1328,Canada
2020-06-15,Daily hospital occupancy,1313,Canada
2020-06-16,Daily hospital occupancy,1228,Canada
2020-06-17,Daily hospital occupancy,1169,Canada
2020-06-18,Daily hospital occupancy,1119,Canada
2020-06-19,Daily hospital occupancy,1034,Canada
2020-06-20,Daily hospital occupancy,977,Canada
2020-06-21,Daily hospital occupancy,985,Canada
2020-06-22,Daily hospital occupancy,970,Canada
2020-06-23,Daily hospital occupancy,946,Canada
2020-06-24,Daily hospital occupancy,906,Canada
2020-06-25,Daily hospital occupancy,899,Canada
2020-06-26,Daily hospital occupancy,852,Canada
2020-06-27,Daily hospital occupancy,824,Canada
2020-06-28,Daily hospital occupancy,800,Canada
2020-06-29,Daily hospital occupancy,797,Canada
2020-06-30,Daily hospital occupancy,724,Canada
2020-07-01,Daily hospital occupancy,715,Canada
2020-07-02,Daily hospital occupancy,696,Canada
2020-07-03,Daily hospital occupancy,672,Canada
2020-07-04,Daily hospital occupancy,657,Canada
2020-07-05,Daily hospital occupancy,649,Canada
2020-07-06,Daily hospital occupancy,651,Canada
2020-07-07,Daily hospital occupancy,631,Canada
2020-07-08,Daily hospital occupancy,603,Canada
2020-07-09,Daily hospital occupancy,605,Canada
2020-07-10,Daily hospital occupancy,582,Canada
2020-07-11,Daily hospital occupancy,587,Canada
2020-07-12,Daily hospital occupancy,585,Canada
2020-07-13,Daily hospital occupancy,562,Canada
2020-07-14,Daily hospital occupancy,555,Canada
2020-07-15,Daily hospital occupancy,553,Canada
2020-07-16,Daily hospital occupancy,547,Canada
2020-07-17,Daily hospital occupancy,536,Canada
2020-07-18,Daily hospital occupancy,537,Canada
2020-07-19,Daily hospital occupancy,536,Canada
2020-07-20,Daily hospital occupancy,560,Canada
2020-07-21,Daily hospital occupancy,586,Canada
2020-07-22,Daily hospital occupancy,565,Canada
2020-07-23,Daily hospital occupancy,494,Canada
2020-07-24,Daily hospital occupancy,484,Canada
2020-07-25,Daily hospital occupancy,461,Canada
2020-07-26,Daily hospital occupancy,473,Canada
2020-07-27,Daily hospital occupancy,473,Canada
2020-07-28,Daily hospital occupancy,458,Canada
2020-07-29,Daily hospital occupancy,444,Canada
2020-07-30,Daily hospital occupancy,424,Canada
2020-07-31,Daily hospital occupancy,402,Canada
2020-08-01,Daily hospital occupancy,382,Canada
2020-08-02,Daily hospital occupancy,383,Canada
2020-08-03,Daily hospital occupancy,378,Canada
2020-08-04,Daily hospital occupancy,381,Canada
2020-08-05,Daily hospital occupancy,364,Canada
2020-08-06,Daily hospital occupancy,341,Canada
2020-08-07,Daily hospital occupancy,339,Canada
2020-08-08,Daily hospital occupancy,328,Canada
2020-08-09,Daily hospital occupancy,332,Canada
2020-08-10,Daily hospital occupancy,315,Canada
2020-08-11,Daily hospital occupancy,306,Canada
2020-08-12,Daily hospital occupancy,298,Canada
2020-08-13,Daily hospital occupancy,293,Canada
2020-08-14,Daily hospital occupancy,296,Canada
2020-08-15,Daily hospital occupancy,288,Canada
2020-08-16,Daily hospital occupancy,293,Canada
2020-08-17,Daily hospital occupancy,282,Canada
2020-08-18,Daily hospital occupancy,279,Canada
2020-08-19,Daily hospital occupancy,276,Canada
2020-08-20,Daily hospital occupancy,271,Canada
2020-08-21,Daily hospital occupancy,270,Canada
2020-08-22,Daily hospital occupancy,251,Canada
2020-08-23,Daily hospital occupancy,253,Canada
2020-08-24,Daily hospital occupancy,260,Canada
2020-08-25,Daily hospital occupancy,272,Canada
2020-08-26,Daily hospital occupancy,286,Canada
2020-08-27,Daily hospital occupancy,273,Canada
2020-08-28,Daily hospital occupancy,265,Canada
2020-08-29,Daily hospital occupancy,260,Canada
2020-08-30,Daily hospital occupancy,278,Canada
2020-08-31,Daily hospital occupancy,286,Canada
2020-09-01,Daily hospital occupancy,293,Canada
2020-09-02,Daily hospital occupancy,299,Canada
2020-09-03,Daily hospital occupancy,287,Canada
2020-09-04,Daily hospital occupancy,287,Canada
2020-09-05,Daily hospital occupancy,256,Canada
2020-09-06,Daily hospital occupancy,258,Canada
2020-09-07,Daily hospital occupancy,259,Canada
2020-09-08,Daily hospital occupancy,290,Canada
2020-09-09,Daily hospital occupancy,303,Canada
2020-09-10,Daily hospital occupancy,306,Canada
2020-09-11,Daily hospital occupancy,302,Canada
2020-09-12,Daily hospital occupancy,302,Canada
2020-09-13,Daily hospital occupancy,310,Canada
2020-09-14,Daily hospital occupancy,324,Canada
2020-09-15,Daily hospital occupancy,328,Canada
2020-09-16,Daily hospital occupancy,340,Canada
2020-09-17,Daily hospital occupancy,343,Canada
2020-09-18,Daily hospital occupancy,363,Canada
2020-09-19,Daily hospital occupancy,368,Canada
2020-09-20,Daily hospital occupancy,396,Canada
2020-09-21,Daily hospital occupancy,416,Canada
2020-09-22,Daily hospital occupancy,450,Canada
2020-09-23,Daily hospital occupancy,470,Canada
2020-09-24,Daily hospital occupancy,499,Canada
2020-09-25,Daily hospital occupancy,534,Canada
2020-09-26,Daily hospital occupancy,554,Canada
2020-09-27,Daily hospital occupancy,566,Canada
2020-09-28,Daily hospital occupancy,602,Canada
2020-09-29,Daily hospital occupancy,643,Canada
2020-09-30,Daily hospital occupancy,671,Canada
2020-10-01,Daily hospital occupancy,666,Canada
2020-10-02,Daily hospital occupancy,691,Canada
2020-10-03,Daily hospital occupancy,709,Canada
2020-10-04,Daily hospital occupancy,751,Canada
2020-10-05,Daily hospital occupancy,793,Canada
2020-10-06,Daily hospital occupancy,837,Canada
2020-10-07,Daily hospital occupancy,888,Canada
2020-10-08,Daily hospital occupancy,910,Canada
2020-10-09,Daily hospital occupancy,912,Canada
2020-10-10,Daily hospital occupancy,900,Canada
2020-10-11,Daily hospital occupancy,942,Canada
2020-10-12,Daily hospital occupancy,954,Canada
2020-10-13,Daily hospital occupancy,1007,Canada
2020-10-14,Daily hospital occupancy,1038,Canada
2020-10-15,Daily hospital occupancy,1079,Canada
2020-10-16,Daily hospital occupancy,1063,Canada
2020-10-17,Daily hospital occupancy,1072,Canada
2020-10-18,Daily hospital occupancy,1093,Canada
2020-10-19,Daily hospital occupancy,1106,Canada
2020-10-20,Daily hospital occupancy,1128,Canada
2020-10-21,Daily hospital occupancy,1134,Canada
2020-10-22,Daily hospital occupancy,1169,Canada
2020-10-23,Daily hospital occupancy,1168,Canada
2020-10-24,Daily hospital occupancy,1204,Canada
2020-10-25,Daily hospital occupancy,1225,Canada
2020-10-26,Daily hospital occupancy,1263,Canada
2020-10-27,Daily hospital occupancy,1296,Canada
2020-10-28,Daily hospital occupancy,1305,Canada
2020-10-29,Daily hospital occupancy,1317,Canada
2020-10-30,Daily hospital occupancy,1319,Canada
2020-10-31,Daily hospital occupancy,1329,Canada
2020-11-01,Daily hospital occupancy,1381,Canada
2020-11-02,Daily hospital occupancy,1448,Canada
2020-11-03,Daily hospital occupancy,1477,Canada
2020-11-04,Daily hospital occupancy,1480,Canada
2020-11-05,Daily hospital occupancy,1524,Canada
2020-11-06,Daily hospital occupancy,1535,Canada
2020-11-07,Daily hospital occupancy,1542,Canada
2020-11-08,Daily hospital occupancy,1639,Canada
2020-11-09,Daily hospital occupancy,1696,Canada
2020-11-10,Daily hospital occupancy,1775,Canada
2020-11-11,Daily hospital occupancy,1822,Canada
2020-11-12,Daily hospital occupancy,1905,Canada
2020-11-13,Daily hospital occupancy,1926,Canada
2020-11-14,Daily hospital occupancy,1946,Canada
2020-11-15,Daily hospital occupancy,1988,Canada
2020-11-16,Daily hospital occupancy,2079,Canada
2020-11-17,Daily hospital occupancy,2145,Canada
2020-11-18,Daily hospital occupancy,2153,Canada
2020-11-19,Daily hospital occupancy,2151,Canada
2020-11-20,Daily hospital occupancy,2161,Canada
2020-11-21,Daily hospital occupancy,2250,Canada
2020-11-22,Daily hospital occupancy,2302,Canada
2020-11-23,Daily hospital occupancy,2411,Canada
2020-11-24,Daily hospital occupancy,2446,Canada
2020-11-25,Daily hospital occupancy,2502,Canada
2020-11-26,Daily hospital occupancy,2688,Canada
2020-11-27,Daily hospital occupancy,2738,Canada
2020-11-28,Daily hospital occupancy,2778,Canada
2020-11-29,Daily hospital occupancy,2816,Canada
2020-11-30,Daily hospital occupancy,2946,Canada
2020-12-01,Daily hospital occupancy,3056,Canada
2020-12-02,Daily hospital occupancy,3130,Canada
2020-12-03,Daily hospital occupancy,3184,Canada
2020-12-04,Daily hospital occupancy,3253,Canada
2020-12-05,Daily hospital occupancy,3296,Canada
2020-12-06,Daily hospital occupancy,3382,Canada
2020-12-07,Daily hospital occupancy,3465,Canada
2020-12-08,Daily hospital occupancy,3477,Canada
2020-12-09,Daily hospital occupancy,3441,Canada
2020-12-10,Daily hospital occupancy,3511,Canada
2020-12-11,Daily hospital occupancy,3515,Canada
2020-12-12,Daily hospital occupancy,3514,Canada
2020-12-13,Daily hospital occupancy,3651,Canada
2020-12-14,Daily hospital occupancy,3795,Canada
2020-12-15,Daily hospital occupancy,3790,Canada
2020-12-16,Daily hospital occupancy,3778,Canada
2020-12-17,Daily hospital occupancy,3748,Canada
2020-12-18,Daily hospital occupancy,3756,Canada
2020-12-19,Daily hospital occupancy,3789,Canada
2020-12-20,Daily hospital occupancy,3883,Canada
2020-12-21,Daily hospital occupancy,3943,Canada
2020-12-22,Daily hospital occupancy,3927,Canada
2020-12-23,Daily hospital occupancy,3881,Canada
2020-12-24,Daily hospital occupancy,3833,Canada
2020-12-25,Daily hospital occupancy,4006,Canada
2020-12-26,Daily hospital occupancy,4176,Canada
2020-12-27,Daily hospital occupancy,4313,Canada
2020-12-28,Daily hospital occupancy,4419,Canada
2020-12-29,Daily hospital occupancy,4597,Canada
2020-12-30,Daily hospital occupancy,4613,Canada
2020-12-31,Daily hospital occupancy,4601,Canada
2021-01-01,Daily hospital occupancy,4620,Canada
2021-01-02,Daily hospital occupancy,4727,Canada
2021-01-03,Daily hospital occupancy,4847,Canada
2021-01-04,Daily hospital occupancy,4954,Canada
2021-01-05,Daily hospital occupancy,4981,Canada
2021-01-06,Daily hospital occupancy,5027,Canada
2021-01-07,Daily hospital occupancy,5016,Canada
2021-01-08,Daily hospital occupancy,4969,Canada
2021-01-09,Daily hospital occupancy,5001,Canada
2021-01-10,Daily hospital occupancy,5125,Canada
2021-01-11,Daily hospital occupancy,5203,Canada
2021-01-12,Daily hospital occupancy,5227,Canada
2021-01-13,Daily hospital occupancy,5209,Canada
2021-01-14,Daily hospital occupancy,5152,Canada
2021-01-15,Daily hospital occupancy,5028,Canada
2021-01-16,Daily hospital occupancy,4948,Canada
2021-01-17,Daily hospital occupancy,4988,Canada
2021-01-18,Daily hospital occupancy,4992,Canada
2021-01-19,Daily hospital occupancy,4913,Canada
2021-01-20,Daily hospital occupancy,4824,Canada
2021-01-21,Daily hospital occupancy,4731,Canada
2021-01-22,Daily hospital occupancy,4659,Canada
2021-01-23,Daily hospital occupancy,4527,Canada
2021-01-24,Daily hospital occupancy,4519,Canada
2021-01-25,Daily hospital occupancy,4436,Canada
2021-01-26,Daily hospital occupancy,4329,Canada
2021-01-27,Daily hospital occupancy,4235,Canada
2021-01-28,Daily hospital occupancy,4160,Canada
2021-01-29,Daily hospital occupancy,3995,Canada
2021-01-30,Daily hospital occupancy,3896,Canada
2021-01-31,Daily hospital occupancy,3879,Canada
2021-02-01,Daily hospital occupancy,3740,Canada
2021-02-02,Daily hospital occupancy,3765,Canada
2021-02-03,Daily hospital occupancy,3630,Canada
2021-02-04,Daily hospital occupancy,3498,Canada
2021-02-05,Daily hospital occupancy,3377,Canada
2021-02-06,Daily hospital occupancy,3292,Canada
2021-02-07,Daily hospital occupancy,3309,Canada
2021-02-08,Daily hospital occupancy,3240,Canada
2021-02-09,Daily hospital occupancy,3171,Canada
2021-02-10,Daily hospital occupancy,3038,Canada
2021-02-11,Daily hospital occupancy,2919,Canada
2021-02-12,Daily hospital occupancy,2837,Canada
2021-02-13,Daily hospital occupancy,2792,Canada
2021-02-14,Daily hospital occupancy,2779,Canada
2021-02-15,Daily hospital occupancy,2738,Canada
2021-02-16,Daily hospital occupancy,2759,Canada
2021-02-17,Daily hospital occupancy,2665,Canada
2021-02-18,Daily hospital occupancy,2609,Canada
2021-02-19,Daily hospital occupancy,2544,Canada
2021-02-20,Daily hospital occupancy,2502,Canada
2021-02-21,Daily hospital occupancy,2504,Canada
2021-02-22,Daily hospital occupancy,2478,Canada
2021-02-23,Daily hospital occupancy,2485,Canada
2021-02-24,Daily hospital occupancy,2401,Canada
2021-02-25,Daily hospital occupancy,2367,Canada
2021-02-26,Daily hospital occupancy,2303,Canada
2021-02-27,Daily hospital occupancy,2281,Canada
2021-02-28,Daily hospital occupancy,2281,Canada
2021-03-01,Daily hospital occupancy,2305,Canada
2021-03-02,Daily hospital occupancy,2266,Canada
2021-03-03,Daily hospital occupancy,2257,Canada
2021-03-04,Daily hospital occupancy,2221,Canada
2021-03-05,Daily hospital occupancy,2201,Canada
2021-03-06,Daily hospital occupancy,2176,Canada
2021-03-07,Daily hospital occupancy,2225,Canada
2021-03-08,Daily hospital occupancy,2186,Canada
2021-03-09,Daily hospital occupancy,2242,Canada
2021-03-10,Daily hospital occupancy,2214,Canada
2021-03-11,Daily hospital occupancy,2234,Canada
2021-03-12,Daily hospital occupancy,2209,Canada
2021-03-13,Daily hospital occupancy,2228,Canada
2021-03-14,Daily hospital occupancy,2277,Canada
2021-03-15,Daily hospital occupancy,2265,Canada
2021-03-16,Daily hospital occupancy,2264,Canada
2021-03-17,Daily hospital occupancy,2290,Canada
2021-03-18,Daily hospital occupancy,2298,Canada
2021-03-19,Daily hospital occupancy,2316,Canada
2021-03-20,Daily hospital occupancy,2350,Canada
2021-03-21,Daily hospital occupancy,2363,Canada
2021-03-22,Daily hospital occupancy,2465,Canada
2021-03-23,Daily hospital occupancy,2474,Canada
2021-03-24,Daily hospital occupancy,2460,Canada
2021-03-25,Daily hospital occupancy,2529,Canada
2021-03-26,Daily hospital occupancy,2507,Canada
2021-03-27,Daily hospital occupancy,2533,Canada
2021-03-28,Daily hospital occupancy,2599,Canada
2021-03-29,Daily hospital occupancy,2669,Canada
2021-03-30,Daily hospital occupancy,2689,Canada
2021-03-31,Daily hospital occupancy,2733,Canada
2021-04-01,Daily hospital occupancy,2745,Canada
2021-04-02,Daily hospital occupancy,2820,Canada
2021-04-03,Daily hospital occupancy,2918,Canada
2021-04-04,Daily hospital occupancy,3010,Canada
2021-04-05,Daily hospital occupancy,3166,Canada
2021-04-06,Daily hospital occupancy,3194,Canada
2021-04-07,Daily hospital occupancy,3269,Canada
2021-04-08,Daily hospital occupancy,3339,Canada
2021-04-09,Daily hospital occupancy,3420,Canada
2021-04-10,Daily hospital occupancy,3569,Canada
2021-04-11,Daily hospital occupancy,3714,Canada
2021-04-12,Daily hospital occupancy,3842,Canada
2021-04-13,Daily hospital occupancy,3954,Canada
2021-04-14,Daily hospital occupancy,3993,Canada
2021-04-15,Daily hospital occupancy,4106,Canada
2021-04-16,Daily hospital occupancy,4221,Canada
2021-04-17,Daily hospital occupancy,4316,Canada
2021-04-18,Daily hospital occupancy,4458,Canada
2021-04-19,Daily hospital occupancy,4477,Canada
2021-04-20,Daily hospital occupancy,4555,Canada
2021-04-21,Daily hospital occupancy,4553,Canada
2021-04-22,Daily hospital occupancy,4559,Canada
2021-04-23,Daily hospital occupancy,4538,Canada
2021-04-24,Daily hospital occupancy,4581,Canada
2021-04-25,Daily hospital occupancy,4621,Canada
2021-04-26,Daily hospital occupancy,4599,Canada
2021-04-27,Daily hospital occupancy,4587,Canada
2021-04-28,Daily hospital occupancy,4487,Canada
2021-04-29,Daily hospital occupancy,4465,Canada
2021-04-30,Daily hospital occupancy,4414,Canada
2021-05-01,Daily hospital occupancy,4444,Canada
2021-05-02,Daily hospital occupancy,4486,Canada
2021-05-03,Daily hospital occupancy,4383,Canada
2021-05-04,Daily hospital occupancy,4289,Canada
2021-05-05,Daily hospital occupancy,4221,Canada
2021-05-06,Daily hospital occupancy,4104,Canada
2021-05-07,Daily hospital occupancy,4043,Canada
2021-05-08,Daily hospital occupancy,4021,Canada
2021-05-09,Daily hospital occupancy,4049,Canada
2021-05-10,Daily hospital occupancy,3935,Canada
2021-05-11,Daily hospital occupancy,3951,Canada
2021-05-12,Daily hospital occupancy,3905,Canada
2021-05-13,Daily hospital occupancy,3862,Canada
2021-05-14,Daily hospital occupancy,3709,Canada
2021-05-15,Daily hospital occupancy,3685,Canada
2021-05-16,Daily hospital occupancy,3718,Canada
2021-05-17,Daily hospital occupancy,3599,Canada
2021-05-18,Daily hospital occupancy,3530,Canada
2021-05-19,Daily hospital occupancy,3429,Canada
2021-05-20,Daily hospital occupancy,3324,Canada
2021-05-21,Daily hospital occupancy,3302,Canada
2021-05-22,Daily hospital occupancy,3143,Canada
2021-05-23,Daily hospital occupancy,3162,Canada
2021-05-24,Daily hospital occupancy,3108,Canada
2021-05-25,Daily hospital occupancy,3040,Canada
2021-05-26,Daily hospital occupancy,2940,Canada
2021-05-27,Daily hospital occupancy,2802,Canada
2021-05-28,Daily hospital occupancy,2677,Canada
2021-05-29,Daily hospital occupancy,2609,Canada
2021-05-30,Daily hospital occupancy,2572,Canada
2021-05-31,Daily hospital occupancy,2436,Canada
2021-06-01,Daily hospital occupancy,2387,Canada
2021-06-02,Daily hospital occupancy,2271,Canada
2021-06-03,Daily hospital occupancy,2160,Canada
2021-06-04,Daily hospital occupancy,2064,Canada
2021-06-05,Daily hospital occupancy,2041,Canada
2021-06-06,Daily hospital occupancy,1993,Canada
2021-06-07,Daily hospital occupancy,1939,Canada
2021-06-08,Daily hospital occupancy,1871,Canada
2021-06-09,Daily hospital occupancy,1803,Canada
2021-06-10,Daily hospital occupancy,1708,Canada
2021-06-11,Daily hospital occupancy,1633,Canada
2021-06-12,Daily hospital occupancy,1625,Canada
2021-06-13,Daily hospital occupancy,1587,Canada
2021-06-14,Daily hospital occupancy,1558,Canada
2021-06-15,Daily hospital occupancy,1494,Canada
2021-06-16,Daily hospital occupancy,1436,Canada
2021-06-17,Daily hospital occupancy,1365,Canada
2021-06-18,Daily hospital occupancy,1301,Canada
2021-06-19,Daily hospital occupancy,1273,Canada
2021-06-20,Daily hospital occupancy,1292,Canada
2021-06-21,Daily hospital occupancy,1209,Canada
2021-06-22,Daily hospital occupancy,1177,Canada
2021-06-23,Daily hospital occupancy,1138,Canada
2021-06-24,Daily hospital occupancy,1111,Canada
2021-06-25,Daily hospital occupancy,1068,Canada
2021-06-26,Daily hospital occupancy,1049,Canada
2021-06-27,Daily hospital occupancy,1051,Canada
2021-06-28,Daily hospital occupancy,1033,Canada
2021-06-29,Daily hospital occupancy,995,Canada
2021-06-30,Daily hospital occupancy,951,Canada
2021-07-01,Daily hospital occupancy,913,Canada
2021-07-02,Daily hospital occupancy,875,Canada
2021-07-03,Daily hospital occupancy,851,Canada
2021-07-04,Daily hospital occupancy,850,Canada
2021-07-05,Daily hospital occupancy,846,Canada
2021-07-06,Daily hospital occupancy,831,Canada
2021-07-07,Daily hospital occupancy,814,Canada
2021-07-08,Daily hospital occupancy,763,Canada
2021-07-09,Daily hospital occupancy,744,Canada
2021-07-10,Daily hospital occupancy,753,Canada
2021-07-11,Daily hospital occupancy,736,Canada
2021-07-12,Daily hospital occupancy,722,Canada
2021-07-13,Daily hospital occupancy,709,Canada
2021-07-14,Daily hospital occupancy,687,Canada
2021-07-15,Daily hospital occupancy,666,Canada
2021-07-16,Daily hospital occupancy,641,Canada
2021-07-17,Daily hospital occupancy,644,Canada
2021-07-18,Daily hospital occupancy,655,Canada
2021-07-19,Daily hospital occupancy,621,Canada
2021-07-20,Daily hospital occupancy,607,Canada
2021-07-21,Daily hospital occupancy,606,Canada
2021-07-22,Daily hospital occupancy,586,Canada
2021-07-23,Daily hospital occupancy,569,Canada
2021-07-24,Daily hospital occupancy,570,Canada
2021-07-25,Daily hospital occupancy,566,Canada
2021-07-26,Daily hospital occupancy,552,Canada
2021-07-27,Daily hospital occupancy,532,Canada
2021-07-28,Daily hospital occupancy,528,Canada
2021-07-29,Daily hospital occupancy,527,Canada
2021-07-30,Daily hospital occupancy,515,Canada
2021-07-31,Daily hospital occupancy,503,Canada
2021-08-01,Daily hospital occupancy,510,Canada
2021-08-02,Daily hospital occupancy,518,Canada
2021-08-03,Daily hospital occupancy,532,Canada
2021-08-04,Daily hospital occupancy,547,Canada
2021-08-05,Daily hospital occupancy,583,Canada
2021-08-06,Daily hospital occupancy,552,Canada
2021-08-07,Daily hospital occupancy,561,Canada
2021-08-08,Daily hospital occupancy,558,Canada
2021-08-09,Daily hospital occupancy,587,Canada
2021-08-10,Daily hospital occupancy,614,Canada
2021-08-11,Daily hospital occupancy,634,Canada
2021-08-12,Daily hospital occupancy,661,Canada
2021-08-13,Daily hospital occupancy,677,Canada
2021-08-14,Daily hospital occupancy,672,Canada
2021-08-15,Daily hospital occupancy,685,Canada
2021-08-16,Daily hospital occupancy,741,Canada
2021-08-17,Daily hospital occupancy,772,Canada
2021-08-18,Daily hospital occupancy,810,Canada
2021-08-19,Daily hospital occupancy,860,Canada
2021-08-20,Daily hospital occupancy,906,Canada
2021-08-21,Daily hospital occupancy,804,Canada
2021-08-22,Daily hospital occupancy,874,Canada
2021-08-23,Daily hospital occupancy,892,Canada
2021-08-24,Daily hospital occupancy,1075,Canada
2021-08-25,Daily hospital occupancy,1125,Canada
2021-08-26,Daily hospital occupancy,1193,Canada
2021-08-27,Daily hospital occupancy,1210,Canada
2021-08-28,Daily hospital occupancy,1224,Canada
2021-08-29,Daily hospital occupancy,1249,Canada
2021-08-30,Daily hospital occupancy,1315,Canada
2021-08-31,Daily hospital occupancy,1379,Canada
2021-09-01,Daily hospital occupancy,1418,Canada
2021-09-02,Daily hospital occupancy,1454,Canada
2021-09-03,Daily hospital occupancy,1533,Canada
2021-09-04,Daily hospital occupancy,1583,Canada
2021-09-05,Daily hospital occupancy,1618,Canada
2021-09-06,Daily hospital occupancy,1647,Canada
2021-09-07,Daily hospital occupancy,1746,Canada
2021-09-08,Daily hospital occupancy,1833,Canada
2021-09-09,Daily hospital occupancy,1852,Canada
2021-09-10,Daily hospital occupancy,1935,Canada
2021-09-11,Daily hospital occupancy,1613,Canada
2021-09-12,Daily hospital occupancy,2007,Canada
2021-09-13,Daily hospital occupancy,2051,Canada
2021-09-14,Daily hospital occupancy,2135,Canada
2021-09-15,Daily hospital occupancy,2171,Canada
2021-09-16,Daily hospital occupancy,2170,Canada
2021-09-17,Daily hospital occupancy,2226,Canada
2021-09-18,Daily hospital occupancy,1889,Canada
2021-09-19,Daily hospital occupancy,1901,Canada
2021-09-20,Daily hospital occupancy,2334,Canada
2021-09-21,Daily hospital occupancy,2386,Canada
2021-09-22,Daily hospital occupancy,2429,Canada
2021-09-23,Daily hospital occupancy,2455,Canada
2021-09-24,Daily hospital occupancy,2482,Canada
2021-09-25,Daily hospital occupancy,2111,Canada
2021-09-26,Daily hospital occupancy,2107,Canada
2021-09-27,Daily hospital occupancy,2525,Canada
2021-09-28,Daily hospital occupancy,2530,Canada
2021-09-29,Daily hospital occupancy,2574,Canada
2021-09-30,Daily hospital occupancy,2178,Canada
2021-10-01,Daily hospital occupancy,2516,Canada
2021-10-02,Daily hospital occupancy,2178,Canada
2021-10-03,Daily hospital occupancy,2168,Canada
2021-10-04,Daily hospital occupancy,2550,Canada
2021-10-05,Daily hospital occupancy,2586,Canada
2021-10-06,Daily hospital occupancy,2631,Canada
2021-10-07,Daily hospital occupancy,2634,Canada
2021-10-08,Daily hospital occupancy,2595,Canada
2021-10-09,Daily hospital occupancy,2532,Canada
2021-10-10,Daily hospital occupancy,2533,Canada
2021-10-11,Daily hospital occupancy,2532,Canada
2021-10-12,Daily hospital occupancy,2522,Canada
2021-10-13,Daily hospital occupancy,2536,Canada
2021-10-14,Daily hospital occupancy,2533,Canada
2021-10-15,Daily hospital occupancy,2501,Canada
2021-10-16,Daily hospital occupancy,2461,Canada
2021-10-17,Daily hospital occupancy,2440,Canada
2021-10-18,Daily hospital occupancy,2452,Canada
