location,success,skipped,error,error_short,timestamp
Egypt,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Egypt -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
124    Egypt 2023-12-31  ...                42337175       15217352

[1 rows x 8 columns]
","Egypt -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
124    Egypt 2023-12-31  ...                42337175       15217352

[1 rows x 8 columns]",2024-08-15T07:04:53
El Salvador,True,False,,,2024-08-15T07:04:53
England,True,False,,,2024-08-15T07:04:53
Equatorial Guinea,True,False,,,2024-08-15T07:04:53
Estonia,True,False,,,2024-08-15T07:04:53
Eswatini,True,False,,,2024-08-15T07:04:54
Ethiopia,True,False,,,2024-08-15T07:04:54
Faeroe Islands,True,False,,,2024-08-15T07:04:54
Falkland Islands,True,False,,,2024-08-15T07:04:54
Fiji,True,False,,,2024-08-15T07:04:54
Finland,True,False,,,2024-08-15T07:04:54
France,True,False,,,2024-08-15T07:04:54
French Polynesia,True,False,,,2024-08-15T07:04:54
Gabon,True,False,,,2024-08-15T07:04:54
Gambia,True,False,,,2024-08-15T07:04:54
Georgia,True,False,,,2024-08-15T07:04:54
Germany,True,False,,,2024-08-15T07:04:54
Ghana,True,False,,,2024-08-15T07:04:54
Gibraltar,True,False,,,2024-08-15T07:04:54
Greece,True,False,,,2024-08-15T07:04:54
Greenland,True,False,,,2024-08-15T07:04:54
Grenada,True,False,,,2024-08-15T07:04:54
Guatemala,True,False,,,2024-08-15T07:04:54
Guernsey,True,False,,,2024-08-15T07:04:54
Guinea,True,False,,,2024-08-15T07:04:54
Guinea-Bissau,True,False,,,2024-08-15T07:04:54
Guyana,True,False,,,2024-08-15T07:04:54
Haiti,True,False,,,2024-08-15T07:04:54
Honduras,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Honduras -- Column total_boosters must be monotonically increasing! Check:
     location       date  ... people_fully_vaccinated total_boosters
107  Honduras 2023-12-29  ...                 5853689        4803544

[1 rows x 8 columns]
","Honduras -- Column total_boosters must be monotonically increasing! Check:
     location       date  ... people_fully_vaccinated total_boosters
107  Honduras 2023-12-29  ...                 5853689        4803544

[1 rows x 8 columns]",2024-08-15T07:04:54
Hong Kong,True,False,,,2024-08-15T07:04:54
Hungary,True,False,,,2024-08-15T07:04:54
Iceland,True,False,,,2024-08-15T07:04:54
India,True,False,,,2024-08-15T07:04:54
Indonesia,True,False,,,2024-08-15T07:04:55
Iran,True,False,,,2024-08-15T07:04:55
Iraq,True,False,,,2024-08-15T07:04:55
Ireland,True,False,,,2024-08-15T07:04:55
Isle of Man,True,False,,,2024-08-15T07:04:55
Israel,True,False,,,2024-08-15T07:04:55
Italy,True,False,,,2024-08-15T07:04:55
Jamaica,True,False,,,2024-08-15T07:04:55
Japan,True,False,,,2024-08-15T07:04:55
Jersey,True,False,,,2024-08-15T07:04:55
Jordan,True,False,,,2024-08-15T07:04:55
Kazakhstan,True,False,,,2024-08-15T07:04:55
Kenya,True,False,,,2024-08-15T07:04:55
Kiribati,True,False,,,2024-08-15T07:04:55
Kosovo,True,False,,,2024-08-15T07:04:55
Kuwait,True,False,,,2024-08-15T07:04:55
Kyrgyzstan,True,False,,,2024-08-15T07:04:55
Laos,True,False,,,2024-08-15T07:04:55
Latvia,True,False,,,2024-08-15T07:04:55
Lebanon,True,False,,,2024-08-15T07:04:55
Lesotho,True,False,,,2024-08-15T07:04:55
Liberia,True,False,,,2024-08-15T07:04:55
Libya,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Libya -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
114    Libya 2023-12-31  ...                 1236102         186729

[1 rows x 8 columns]
","Libya -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
114    Libya 2023-12-31  ...                 1236102         186729

[1 rows x 8 columns]",2024-08-15T07:04:55
Liechtenstein,True,False,,,2024-08-15T07:04:55
Lithuania,True,False,,,2024-08-15T07:04:55
Luxembourg,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 175, in check_metrics
    self._check_metrics_anomalies(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 217, in _check_metrics_anomalies
    self._check_anomalies(df, metric)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 239, in _check_anomalies
    raise ValueError(f""{self.location} -- Potential anomalies found ⚠️:\n{anomalies}"")
ValueError: Luxembourg -- Potential anomalies found ⚠️:
        date  ...  people_fully_vaccinated_ratio
0 2023-12-23  ...                      13.883463

[1 rows x 4 columns]
","Luxembourg -- Potential anomalies found ⚠️:
        date  ...  people_fully_vaccinated_ratio
0 2023-12-23  ...                      13.883463

[1 rows x 4 columns]",2024-08-15T07:04:55
Macao,True,False,,,2024-08-15T07:04:55
Madagascar,True,False,,,2024-08-15T07:04:56
Malawi,True,False,,,2024-08-15T07:04:56
Malaysia,True,False,,,2024-08-15T07:04:56
Maldives,True,False,,,2024-08-15T07:04:56
Mali,True,False,,,2024-08-15T07:04:56
Malta,True,False,,,2024-08-15T07:04:56
Mauritania,True,False,,,2024-08-15T07:04:56
Mauritius,True,False,,,2024-08-15T07:04:56
Mexico,True,False,,,2024-08-15T07:04:56
Moldova,True,False,,,2024-08-15T07:04:56
Monaco,True,False,,,2024-08-15T07:04:56
Mongolia,True,False,,,2024-08-15T07:04:56
Montenegro,True,False,,,2024-08-15T07:04:56
Montserrat,True,False,,,2024-08-15T07:04:56
Morocco,True,False,,,2024-08-15T07:04:56
Mozambique,True,False,,,2024-08-15T07:04:56
Myanmar,True,False,,,2024-08-15T07:04:56
Namibia,True,False,,,2024-08-15T07:04:56
Nauru,True,False,,,2024-08-15T07:04:56
Nepal,True,False,,,2024-08-15T07:04:56
Netherlands,True,False,,,2024-08-15T07:04:56
New Caledonia,True,False,,,2024-08-15T07:04:56
New Zealand,True,False,,,2024-08-15T07:04:56
Nicaragua,True,False,,,2024-08-15T07:04:56
Niger,True,False,,,2024-08-15T07:04:56
Nigeria,True,False,,,2024-08-15T07:04:56
North Macedonia,True,False,,,2024-08-15T07:04:56
Northern Cyprus,True,False,,,2024-08-15T07:04:56
Northern Ireland,True,False,,,2024-08-15T07:04:57
Norway,True,False,,,2024-08-15T07:04:57
Niue,True,False,,,2024-08-15T07:04:57
Oman,True,False,,,2024-08-15T07:04:57
Pakistan,True,False,,,2024-08-15T07:04:57
Palestine,True,False,,,2024-08-15T07:04:57
Panama,True,False,,,2024-08-15T07:04:57
Papua New Guinea,True,False,,,2024-08-15T07:04:57
Paraguay,True,False,,,2024-08-15T07:04:57
Peru,True,False,,,2024-08-15T07:04:57
Philippines,True,False,,,2024-08-15T07:04:57
Pitcairn,True,False,,,2024-08-15T07:04:57
Poland,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Poland -- Column total_vaccinations must be monotonically increasing! Check:
     location       date  ... people_fully_vaccinated total_boosters
1085   Poland 2024-03-28  ...                    <NA>       15928715
1139   Poland 2024-06-08  ...                22648086       15937657
1141   Poland 2024-06-10  ...                22648088       15937651
1167   Poland 2024-07-11  ...                22648092       15938195

[4 rows x 8 columns]
","Poland -- Column total_vaccinations must be monotonically increasing! Check:
     location       date  ... people_fully_vaccinated total_boosters
1085   Poland 2024-03-28  ...                    <NA>       15928715
1139   Poland 2024-06-08  ...                22648086       15937657
1141   Poland 2024-06-10  ...                22648088       15937651
1167   Poland 2024-07-11  ...                22648092       15938195

[4 rows x 8 columns]",2024-08-15T07:04:57
Portugal,True,False,,,2024-08-15T07:04:57
Qatar,True,False,,,2024-08-15T07:04:57
Romania,True,False,,,2024-08-15T07:04:57
Russia,True,False,,,2024-08-15T07:04:57
Rwanda,True,False,,,2024-08-15T07:04:57
Saint Helena,True,False,,,2024-08-15T07:04:57
Saint Kitts and Nevis,True,False,,,2024-08-15T07:04:57
Saint Lucia,True,False,,,2024-08-15T07:04:57
Saint Vincent and the Grenadines,True,False,,,2024-08-15T07:04:57
Samoa,True,False,,,2024-08-15T07:04:57
San Marino,True,False,,,2024-08-15T07:04:57
Sao Tome and Principe,True,False,,,2024-08-15T07:04:57
Saudi Arabia,True,False,,,2024-08-15T07:04:57
Scotland,True,False,,,2024-08-15T07:04:57
Senegal,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Senegal -- Column total_boosters must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
135  Senegal 2023-12-31  ...                 1548665         724754

[1 rows x 8 columns]
","Senegal -- Column total_boosters must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
135  Senegal 2023-12-31  ...                 1548665         724754

[1 rows x 8 columns]",2024-08-15T07:04:57
Serbia,True,False,,,2024-08-15T07:04:57
Seychelles,True,False,,,2024-08-15T07:04:58
Sierra Leone,True,False,,,2024-08-15T07:04:58
Singapore,True,False,,,2024-08-15T07:04:58
Sint Maarten (Dutch part),True,False,,,2024-08-15T07:04:58
Slovakia,True,False,,,2024-08-15T07:04:58
Slovenia,True,False,,,2024-08-15T07:04:58
Solomon Islands,True,False,,,2024-08-15T07:04:58
Somalia,True,False,,,2024-08-15T07:04:58
South Africa,True,False,,,2024-08-15T07:04:58
South Korea,True,False,,,2024-08-15T07:04:58
South Sudan,True,False,,,2024-08-15T07:04:58
Spain,True,False,,,2024-08-15T07:04:58
Sri Lanka,True,False,,,2024-08-15T07:04:58
Sudan,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Sudan -- Column total_boosters must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
45    Sudan 2023-12-31  ...                13416394          38261

[1 rows x 8 columns]
","Sudan -- Column total_boosters must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
45    Sudan 2023-12-31  ...                13416394          38261

[1 rows x 8 columns]",2024-08-15T07:04:58
Suriname,True,False,,,2024-08-15T07:04:58
Sweden,True,False,,,2024-08-15T07:04:58
Switzerland,True,False,,,2024-08-15T07:04:58
Syria,True,False,,,2024-08-15T07:04:58
Taiwan,True,False,,,2024-08-15T07:04:58
Tajikistan,True,False,,,2024-08-15T07:04:58
Tanzania,True,False,,,2024-08-15T07:04:58
Thailand,True,False,,,2024-08-15T07:04:58
Timor,True,False,,,2024-08-15T07:04:58
Tokelau,True,False,,,2024-08-15T07:04:58
Togo,True,False,,,2024-08-15T07:04:58
Tonga,True,False,,,2024-08-15T07:04:58
Trinidad and Tobago,True,False,,,2024-08-15T07:04:58
Tunisia,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Tunisia -- Column people_fully_vaccinated must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
361  Tunisia 2023-12-31  ...                 6401705        1258577

[1 rows x 8 columns]
","Tunisia -- Column people_fully_vaccinated must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
361  Tunisia 2023-12-31  ...                 6401705        1258577

[1 rows x 8 columns]",2024-08-15T07:04:58
Turkey,True,False,,,2024-08-15T07:04:58
Turkmenistan,True,False,,,2024-08-15T07:04:59
Turks and Caicos Islands,True,False,,,2024-08-15T07:04:59
Tuvalu,True,False,,,2024-08-15T07:04:59
Uganda,True,False,,,2024-08-15T07:04:59
Ukraine,True,False,,,2024-08-15T07:04:59
United Arab Emirates,True,False,,,2024-08-15T07:04:59
United Kingdom,True,False,,,2024-08-15T07:04:59
United States,True,False,,,2024-08-15T07:04:59
Uruguay,True,False,,,2024-08-15T07:04:59
Uzbekistan,True,False,,,2024-08-15T07:04:59
Vanuatu,True,False,,,2024-08-15T07:04:59
Venezuela,True,False,,,2024-08-15T07:04:59
Vietnam,True,False,,,2024-08-15T07:04:59
Wales,True,False,,,2024-08-15T07:04:59
Wallis and Futuna,True,False,,,2024-08-15T07:04:59
Yemen,True,False,,,2024-08-15T07:04:59
Zambia,True,False,,,2024-08-15T07:04:59
Zimbabwe,True,False,,,2024-08-15T07:04:59
